author|title|content
EUROPA PRESS|Detenida una pareja tras fingir ser los padres de una recién nacida|Agentes de la Policía Nacional han detenido a una pareja que intentó cambiar la paternidad de una recién nacida en un hospital de Fuenlabrada, y a la madre biológica de la bebé, al querer desentenderse de ella, según ha informado este Cuerpo.   La madre bioló… [+1860 chars]
AFP|Dos policías detenidos en Río como sospechosos del asesinato de la activista Marielle Franco|Dos policías fueron detenidos el martes en Río de Janeiro como presuntos implicados en el asesinato hace casi un año de la concejal negra Marielle Franco y su chófer Anderson Gomes, un caso que conmocionó a Brasil, según fuentes de la División de Homicidios d… [+433 chars]
AMADO HERRERO|Causa el doble de muertes de lo que se creía: 800.000 al año en Europa|"El Tribunal de Cuentas de la Unión Europea (TCE) lanzó la alerta el pasado mes de septiembre: ""la salud de los ciudadanos europeos no está suficientemente protegida"". En su primer informe sobre la contaminación del aire, este organismo calificaba como ""poco e… [+5177 chars]"
EL MUNDO|"Lío entre Risto Mejide y la 'antifeminista' Sofía Rincón: ""Si alguien viene para trolear, ni medio minuto"""|"Este lunes, Risto Mejide decidió contar en Todo es mentira con la bloguera Sofía Rincón, quien ha manifestado su oposición contra las ""feministas hegemónicas"", para hablar de la contramarcha del 8M celebrada el domingo y promovida por organizaciones como Hazt… [+1783 chars]"
ESTHER MUCIENTES|Eurovisión ya tiene sus favoritos y España no está entre ellos|Sí, queda todavía mucho; sí, ponerse a buscar favoritas a casi dos meses de la final de Eurovisión suena a precipitado y a toca narices; sí, prácticamente el público todavía no ha escuchado ni tres de las 41 canciones que se presentan, pero... Pero hablamos d… [+8896 chars]
ANDRÉS MACHADO|Detenida la pareja del líder de Los Castañas con joyas valoradas en 80.000 euros|Efectivos de la Agencia Tributaria y Policía Nacional han detenido, en San Roque, a una mujer de 37 años que es la pareja sentimental de Antonio Tejón, uno de líderes del clan de narcotraficantes conocido como Los Castañas, actualmente en prisión. Esta person… [+1563 chars]
EUROPA PRESS|VW prevé producir 22 millones de eléctricos en 10 años|El grupo automovilístico alemán Volkswagen ha ampliado de 15 a 22 millones de vehículos la previsión de producción de modelos con tecnología eléctrica para la próxima década de todas las marcas que engloba.   Según detalló la compañía durante su conferencia d… [+3178 chars]
AGENCIAS|El Manchester City indemnizará a los niños que fueron víctimas de abuso sexual por parte de un entrenador|El Manchester City ha lanzado un plan de compensación para las víctimas de abuso sexual infantil por parte del extrenador de las categorías inferiores Barry Bennell, quien recientemente fue encarcelado para los próximos 30 años por múltiples cargos de abuso. … [+1055 chars]
EFE|"Pelosi asegura que un ""impeachment"" contra Trump ""no vale la pena"""|"La presidenta de la Cámara Baja de EEUU, Nancy Pelosi, se opuso a impulsar en el Congreso un ""impeachment"" (juicio político) en contra del presidente, Donald Trump, al asegurar que ""no vale la pena"".  ""Un 'impeachment' divide tanto al país que, a menos que ha… [+1844 chars]"
FÉLIX CEREZO|Eléctricos, en lo bueno y lo malo|La 89ª edición del Salón del Automóvil de Ginebra arrancaba el pasado martes marcada por los tiempos convulsos que vive el automóvil. De hecho, siguiendo la tónica de algunos de los últimos certámenes celebrados -París el pasado otoño y Detroit a comienzos de… [+9637 chars]
EL MUNDO|¿Pero qué celebra hoy Google el aniversario de Internet con su doodle?|Google ha creado un doodle para celebrar el 30 aniversario de Internet. Sin embargo, lo que cumple 30 años es, en realidad, la web. O, mejor dicho, la World Wide Web, que es lo que inventó Tim Berners-Lee cuando trabajaba en el CERN en 1989.  El británico com… [+1465 chars]
Servimedia|Borrell dice que España estudiará acoger a personas próximas a Nicolás Maduro|El ministro de Asuntos Exteriores, UE y Cooperación, Josep Borrell, preguntado este martes sobre sobre si el secretario de Estado de EEUU, Mike Pompeo, le ha pedido que España acoja al ministro de Defensa venezolano, se limitó a afirmar que ha abordado con és… [+1654 chars]
EL MUNDO|Ibaka pierde los papeles y se lía a puñetazos con un rival en pleno partido|Serge Ibaka es un jugador con carácter. Tanto, que más de una vez eso le ha costado algún disgusto o polémica con algún rival en los años que lleva jugando en la NBA. Ha sido protagonista de más de una pelea, a veces por defender a un compañero y otras, como … [+673 chars]
YO DONA PARA EVAX|María Dolores Gimeno, un ejemplo para todas las jóvenes que sueñan con entrar en las Fuerzas Armadas|María Dolores Gimeno es teniente coronel de la Guardia Civil y embajadora de la campaña Girls Everywhere by Evax. Foto: D.R.   Estamos de celebración porque por fin podemos decir alto y claro que las mujeres estamos en todas partes. Los diferentes ámbitos pro… [+6648 chars]
EUROPA PRESS|Un basurero halla a un bebé muerto en un contenedor|Los Mossos d'Esquadra investigan la muerte de un bebé encontrado a primera hora de este martes en un contenedor de la basura en Montcada i Reixac (Barcelona).   Según ha informado la policía catalana a Europa Press, han recibido el aviso a las 6.16 horas.   E… [+203 chars]
elmundo.es|Declaración de los responsables de Unipost en el juicio del 'procés', en directo|Conforme a los criterios de  The Trust Project
